sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
6.3706949880939066,2.771951953245926,5.118790315844131,1.5420844392405286,virginica
5.979285975248555,2.6120947557287315,5.086594573290423,1.5602275882262049,versicolor
6.741562705671551,2.8043210143999455,4.758668774743066,1.4437018754725421,versicolor
6.346537886183286,2.796798589752039,5.601083818635398,2.114922237242735,virginica
5.558279547527589,2.8314512771424027,4.876331269196723,2.04512457129922,virginica
7.643745307641655,2.822124204608818,6.637022673459261,1.9109059297489046,virginica
5.5889653849123455,2.835369046023615,4.92615690789626,1.9552822534106393,virginica
6.318688813929826,3.384135603594192,4.674081929035562,1.551662145015657,versicolor
6.541165356025097,2.9145823442631427,4.595177730688788,1.281298427171633,versicolor
5.058323850560768,2.46120084306979,3.070294774555675,1.033115235445965,versicolor
4.888457090898008,2.317750827199333,3.226189449089399,1.0125424618037078,versicolor
5.530115469790923,2.2295086504733095,3.8939557018024047,1.268475185181985,versicolor
5.548430160958014,2.3803938978002135,4.020858928560895,1.2515927854104814,versicolor
4.775471380063655,3.091988301532445,1.6265266396286926,0.24855911447415446,setosa
6.131760918858538,2.935633710108655,4.2740529147262505,1.3066370049386224,versicolor
4.798883088990214,3.149660504458272,1.588365194486947,0.2633419248508849,setosa
5.511803430616146,2.5987887554295654,3.9708546927606814,1.2945117222122136,versicolor
6.521989301268834,3.0327972429412458,5.55001753913887,1.7877715441871918,virginica
4.450709434780983,2.895373210879747,1.3593968700639418,0.17390674673383966,setosa
6.3939179299257995,3.167033303208589,4.4768448710901545,1.5629788706209728,versicolor
4.960367482993925,3.3228557911906087,1.571695266453186,0.37721971685487066,setosa
5.872452494034886,3.2749426307511205,4.807311151776461,1.7817916641615243,versicolor
6.5947172647018695,2.8516066524669803,4.549377565840758,1.2843864690819817,versicolor
5.537149383008112,2.9913463704422703,4.530075420729599,1.4544442808274014,versicolor
5.655064507867994,2.814561644017612,4.075021907134511,1.4038022125886658,versicolor
4.646563002136198,3.148325262699075,1.5132558849036282,0.1757250437070849,setosa
5.523663623644947,4.151149768231397,1.3229486683754306,0.1981020083553461,setosa
5.06847274645513,3.426035659366968,1.4831684832995549,0.22316091638341154,setosa
4.8697999589015275,3.1550845921471797,1.528316497338455,0.19355520341246615,setosa
5.472937725907836,3.4164819988416633,1.4895735649004722,0.46091895647276354,setosa
6.6927172977458875,2.4813156991436407,5.847199170595783,1.6942888124846927,virginica
4.918108853826277,3.001054492352271,1.3302426771759432,0.14958864153590423,setosa
5.716385633096798,2.680937224632828,4.232089753074121,1.2916515782158728,versicolor
6.83842320594217,2.8751607332898295,5.498210186829723,2.0797295411939354,virginica
6.54896878908616,2.948050671423022,5.86013819954273,2.208281822726967,virginica
5.710959474646143,2.646889655951167,3.5140255858447453,1.0608520858119401,versicolor
5.536729960734404,3.498793303067939,1.2051394677310137,0.15793620384021972,setosa
5.883044037340535,2.1922569013046567,4.987372854902071,1.4508316422206484,virginica
6.701683587478219,3.0295880740776595,5.029102105939868,1.7400910096232969,versicolor
6.214413459661773,2.653055917116885,4.9403288959418905,1.7530148998052033,virginica
5.013987118545486,3.7195999027311104,1.9376378409997101,0.3999526452556635,setosa
5.706359520689508,2.49692056561406,4.964329754138348,2.0373816392129043,virginica
7.740651709086886,3.7636512931126647,6.716040917890348,2.1197247586489065,virginica
6.3724768412234125,2.3536592857157297,4.439281939493699,1.2257370985050688,versicolor
5.032099391860571,3.5262120933796113,1.329861427840549,0.26893215367184475,setosa
5.461695845300054,2.2653947243723684,4.105478675832752,1.3791219236922727,versicolor
5.328940814693577,3.698137630691591,1.5006094178991312,0.1839659806925027,setosa
5.727694703044816,2.576811654984144,3.4488781032178113,0.9865182924267449,versicolor
4.6618742112871825,3.0368980160136965,1.3059672713386687,-0.04888775686978536,setosa
5.874438074346031,2.6538756177513934,3.9497377625644257,1.2220312470801826,versicolor
6.6723899315055375,3.2858600688967976,5.728334315665526,2.132019240674799,virginica
5.802255696286708,2.846935054345125,4.542123805732827,1.2943501318698516,versicolor
4.967397145960362,3.5292025156023783,1.3399686629696366,0.1466258206662672,setosa
6.172295273135387,2.994653497047109,4.850116905217107,1.6898074789866637,virginica
6.219712956848751,3.352168623210309,5.282868732630095,2.2696267697499497,virginica
4.98950087412505,3.0541674929723683,1.5977104091785463,0.09812073033758183,setosa
5.7727585075323375,2.6946244685126843,5.017349029322757,1.8818628971426612,virginica
6.1949077666552785,2.8051670338613577,4.861947547994445,1.8066817205546515,virginica
6.349942579686485,2.919919839293748,5.413557020173511,1.8301579507061958,virginica
7.700766817591515,2.551865400178828,6.8638985513063515,2.3784790608655166,virginica
5.900288082741715,3.0490274484361124,5.087940579142302,1.7935007694024132,virginica
4.783782221238301,3.436262857806005,1.566750342155972,0.1285924606904701,setosa
6.716803710412791,3.026350644224773,5.055218374925048,1.6455302097247289,versicolor
7.690616376867714,3.00619550173558,6.565361105687751,2.126419529396716,virginica
6.8920595616294165,3.2101569353388744,5.75324956345205,2.284200002164895,virginica
6.380787717582878,3.088328128977961,5.491617622896549,1.7832700183596042,virginica
4.896980559100458,2.918528548117511,1.4057419048617474,0.16252336258245148,setosa
6.24871632045982,2.79875539004507,4.85587628104701,1.7469852922355846,virginica
4.9537343669130625,3.564481204214281,1.365054869158661,0.16972570466574483,setosa
7.67936892433627,3.017232253530294,6.13961875048851,2.279156589160935,virginica
4.98230707727996,2.9509619161794567,1.6987102331994426,0.2074574747525107,setosa
6.048988479162964,2.150821594255162,5.04796062425729,1.4722328617483353,virginica
6.154863108615937,2.9146396464330975,4.6615260868781245,1.2069522089495062,versicolor
7.246896432558242,2.940015014114531,5.79243007075789,1.6797810480904152,virginica
6.202912652801525,3.300719972042446,5.402233415469362,2.322695318859763,virginica
5.765507938136984,2.8115465745634776,4.453716394262619,1.320323548940177,versicolor
5.848739620066369,2.662538639968623,4.08731569182524,1.0273082696143137,versicolor
5.481070899909457,2.50225949891752,4.085300447922577,1.3456446424355004,versicolor
6.750285961939175,3.1078575600177496,4.435671132615094,1.431546205387126,versicolor
6.366173794696772,2.8291022320780885,4.546807286661167,1.5465428272943913,versicolor
6.308925557753568,2.2649304129610917,4.442125059218191,1.2798861735148406,versicolor
5.360961740611888,3.3464099780492673,1.471263054340157,0.4013736029242535,setosa
6.471750510531631,3.0071171881652847,5.503166577547654,1.708524479091271,virginica
5.568497597699471,2.4840810319524187,3.9678765649026113,1.2513062048405124,versicolor
7.111669297833777,3.045551948300678,5.862316643470714,2.091329351248216,virginica
4.934030680076763,3.412329160267047,1.5917837789469687,0.3019879302169237,setosa
6.29518344277428,2.5091782981586874,4.897616979563389,1.532906114465658,versicolor
6.297449575706348,2.524968599319475,5.022026632824859,1.8530579855113136,virginica
6.571901619451286,2.934404255119049,4.60886343282516,1.2611589050788705,versicolor
5.305478499520888,3.3731082537850883,1.5347138416548571,0.47710405254231064,setosa
5.090700658402249,3.779065332977118,1.428143693097836,0.2520318082606827,setosa
5.46751244010483,2.5436967885004176,3.9455893053197655,1.2499242587099884,versicolor
4.795564048283167,3.212435787686145,1.5638843771540913,0.22144545003562582,setosa
4.4205634740621145,3.2345006142529784,1.3211782893565371,0.2497117601674562,setosa
6.337809347407031,2.899015781030435,5.534946746911822,1.8331109188833616,virginica
5.520360605125704,2.802355005931767,4.933758534404452,2.0256289624818793,virginica
5.517504866202242,4.157406026309514,1.475281506562288,0.1971527137598198,setosa
6.01587948772495,2.2785384466430836,3.9553299455256843,0.9768384790624605,versicolor
5.885339042748023,2.799317864334538,5.117174351794585,1.5350156699108577,versicolor
5.16673790523974,3.4299087052833235,1.4826263967368822,0.25793595958457555,setosa
6.17712983346384,2.7630137666989114,4.727740398315489,1.1542039564165434,versicolor
4.857395449609365,3.3592175122837546,1.6069652080368542,0.15540129960132196,setosa
5.507841306464173,3.450044912527031,1.2099965471874332,0.20455806052238054,setosa
6.077510399450195,2.7984394797487875,3.957663144066114,1.3495363780373142,versicolor
6.293452808689876,2.5061150011762483,4.893808198712302,1.4939019307733121,versicolor
5.3631152858894975,3.962304307120885,1.252147350759802,0.3763835972742294,setosa
5.809900264432365,4.028682143133294,1.140394896597705,0.23542387934619505,setosa
5.743828347402102,2.7750565365209403,4.5336863971800225,1.2804129795094854,versicolor
6.188857812686412,2.8189407118344985,4.065785209032022,1.3563221061251625,versicolor
4.535952712239858,2.2111740561190083,1.3212168836186724,0.31014243948709175,setosa
5.768841271448985,2.8392610289378464,4.544842609567676,1.3757349146947326,versicolor
6.359792395603419,2.5848243126048,4.892007420698265,1.4775288751470042,versicolor
6.723785801758546,2.571016008400309,5.719561678341568,1.7479336152759022,virginica
5.442999962552174,3.064124244037393,4.515555677424043,1.540215772422398,versicolor
6.2968746203504935,2.296568666238027,4.402798503573124,1.3217062148300887,versicolor
6.090522108192122,2.915803456818787,4.70608977811853,1.1631481937088728,versicolor
5.421726386783222,4.002050280935022,1.2857449591637462,0.31222929074439865,setosa
6.266397202958328,2.74989554962502,4.86606477866341,1.8488174839347287,virginica
5.31083339745388,3.686749648456314,1.534197538899671,0.17888191431816675,setosa
5.777991105984246,2.7675714987888673,5.1481974696251145,2.3923766954214996,virginica
4.698260621308731,3.1019177743115613,1.5879390559304838,0.05578303044047958,setosa
6.461046601222832,3.0294948727321005,5.19302544670435,1.9852307391467985,virginica
